Instance,Time,Obj,Borne,Gap
20_USA-road-d.BAY.gr,"0,13",15332.56,15332.56,0%
40_USA-road-d.COL.gr,0.30,15058.97,15058.97,0%
60_USA-road-d.COL.gr,0.13,23914.23,23914.23,0%
80_USA-road-d.COL.gr,0.31 ,14277.49,14277.49,0%
100_USA-road-d.COL.gr, 0.88,25320.15,25320.15,0%
120_USA-road-d.COL.gr, 0.95 ,25582.6,25582.6,0%
140_USA-road-d.COL.gr,0.97 ,24651.02,24651.02,0%
160_USA-road-d.COL.gr,1.22,24651.02,24651.02,0%
180_USA-road-d.COL.gr,  2.64,33704.64,33704.64,
200_USA-road-d.COL.gr,2.56,31845.67   ,,
250_USA-road-d.COL.gr,"2,78",32794.27,,
300_USA-road-d.COL.gr,3.84,34605.27,,
350_USA-road-d.COL.gr, 4.16,30611.05,,
400_USA-road-d.COL.gr,08.08,39224.0,,
450_USA-road-d.COL.gr,11.27,39224.0,,
,16.09,39224.0,,